title,tomatometer,reviewCount
Triple Threat,N/A,N/A
Troy,54%,228
Troy: The Odyssey,N/A,N/A
True Memoirs of an International Assassin,N/A,N/A
Twins Mission,N/A,N/A
Undercover Grandpa,N/A,N/A
Used Goods,N/A,N/A
USS Indianapolis: Men of Courage,17%,12
V for Vendetta,72%,247
Vantage Point,34%,157
Veerappan,N/A,N/A
Vettai,N/A,N/A
Viking Destiny,13%,8
Waar,N/A,N/A
Waarrior Savitri,N/A,N/A
War,14%,59
War on Everyone,60%,96
We Are Legends,N/A,N/A
What Happened to Monday,57%,35
Wheelman,87%,23
World Trade Center,67%,233
xXx,48%,179
XXX: State of the Union,17%,137
Yamla Pagla Deewana 2,N/A,N/A
Young Tiger,N/A,N/A
A Silent Voice,94%,33
Flavors of Youth: International Version,N/A,N/A
In This Corner of the World,97%,74
K-on! the movie,N/A,N/A
Mary and The Witch's Flower,89%,88
Miss Hokusai,93%,56
Pokémon the Movie: I Choose You!,N/A,N/A
Sturgill Simpson Presents Sound & Fury,N/A,N/A
The Garden of Words,N/A,N/A
Yo-Kai Watch: The Movie,80%,5
48 Christmas Wishes,N/A,N/A
A 2nd Chance,N/A,N/A
A Christmas Prince,73%,11
A Christmas Prince: The Royal Baby,25%,8
A Christmas Prince: The Royal Wedding,47%,15
A Cinderella Story: Christmas Wish,N/A,N/A
A Fairly Odd Summer,N/A,N/A
A Holiday Engagement,N/A,N/A
A StoryBots Christmas,N/A,N/A
A Witches' Ball,N/A,N/A
A Wrinkle in Time,N/A,N/A
Abominable Christmas,N/A,N/A
Action Replayy,N/A,N/A
Albion: The Enchanted Stallion,N/A,N/A
Aliens Ate My Homework,N/A,N/A
All Hallows' Eve,N/A,N/A
Alpha and Omega 2: A Howl-iday Adventure,N/A,N/A
An American Tail,70%,27
An American Tail: Fievel Goes West,54%,13
An American Tail: The Mystery of the Night Monster,N/A,N/A
An American Tail: The Treasures of Manhattan Island,N/A,N/A
Angela's Christmas,N/A,N/A
Annabelle Hooper and the Ghosts of Nantucket,N/A,N/A
Antariksha Ke Rakhwale,N/A,N/A
Balto,54%,24
Balto 2: Wolf Quest,N/A,N/A
Balto 3: Wings of Change,N/A,N/A
Barbie & Her Sisters in a Pony Tale,N/A,N/A
Barbie Dolphin Magic,N/A,N/A
Barbie in A Mermaid Tale,N/A,N/A
